#x;y;w_right;w_left;x_normvec;y_normvec;alpha;s;psj;kappa;vx;ax
59.372189900369726;90.25508180528863;4.375;4.375;-0.7364979439160636;-0.6764397819521046;0;0;-0.8278784723305816;0;33.333333333333336;1.5
59.97909198112694;89.59435892141943;4.375;4.375;-0.736499986282399;-0.6764375582461593;0;1;-0.8278814916232768;-6.798207238768427e-06;33.333333333333336;1.5
60.58599119996329;88.9336309837936;4.375;4.375;-0.7365020260216537;-0.6764353373870996;0;2;-0.8278845070421847;-6.789567852790135e-06;33.333333333333336;1.5
61.39518571509697;88.05265255617164;4.375;4.375;-0.7365047415875002;-0.6764323806701816;0;3;-0.8278885215748849;-6.778048789989936e-06;33.333333333333336;1.5
62.002078275382544;87.39191286532301;4.375;4.375;-0.7365067751970684;-0.6764301664538734;0;4;-0.8278915279550563;-6.769409570609136e-06;33.333333333333336;1.5
62.608967990259735;86.73116815404006;4.375;4.375;-0.7365088061796992;-0.6764279550844674;0;5;-0.8278945304615253;-6.760770424099355e-06;33.333333333333336;1.5
63.41814985913384;85.85016741337641;4.375;4.375;-0.7365115100702643;-0.6764250110204523;0;6;-0.8278985277777642;-6.74925167179259e-06;33.333333333333336;1.5
64.02503295398925;85.18941102662251;4.375;4.375;-0.7365135349235371;-0.6764228062938414;0;7;-0.8279015212456869;-6.740612688860389e-06;33.333333333333336;1.5
64.63191321994869;84.52864965275644;4.375;4.375;-0.7365155571500118;-0.6764206044141527;0;8;-0.827904510839987;-6.731973775775401e-06;33.333333333333336;1.5
65.4410825159517;83.64762674714979;4.375;4.375;-0.7365182493659225;-0.6764176730031207;0;9;-0.82790849094013;-6.720455333001988e-06;33.333333333333336;1.5
66.04795620041835;82.98685377556457;4.375;4.375;-0.7365202654633671;-0.6764154777662699;0;10;-0.8279114714960744;-6.711816582858543e-06;33.333333333333336;1.5
66.65482707250143;82.3260758501894;4.375;4.375;-0.7365222789341566;-0.6764132853763566;0;11;-0.8279144481784813;-6.703177902631842e-06;33.333333333333336;1.5
67.463983869022;81.44503092773854;4.375;4.375;-0.7365249594760354;-0.6764103666183897;0;12;-0.8279184110628895;-6.6916597702481106e-06;33.333333333333336;1.5
68.07084819814126;80.78424148239606;4.375;4.375;-0.7365269668181199;-0.6764081808713582;0;13;-0.8279213787071287;-6.683021251847072e-06;33.333333333333336;1.5
