#x;y;w_right;w_left;x_normvec;y_normvec;alpha;s;psj;kappa;vx;ax
-104.86365160067044;-8.197613171785187;1.125;1.125;0.40687793627236923;0.9134825367650647;0;0;2.7225589631261076;0;26.38888888888889;1.5
-105.68785813378896;-7.895405621136663;1.125;1.125;0.41072541746841135;0.911759086297142;0;1;2.7183431097849913;0.009861074682814245;26.38888888888889;1.5
-106.51044045302956;-7.5855413200020285;1.125;1.125;0.41455612791169366;0.9100237451906755;0;2;2.7141376636348653;0.009814947647141737;26.38888888888889;1.5
-107.60457923283414;-7.160561264690366;1.125;1.125;0.4196380024837213;0.9076915483089354;0;3;2.7085461814594862;0.009754478266650239;26.38888888888889;1.5
-108.42312176510401;-6.833017618075508;1.125;1.125;0.42343036388310035;0.9059286544435081;0;4;2.704364097618216;0.009709898978610215;26.38888888888889;1.5
-109.23982583670535;-6.497976997249423;1.125;1.125;0.42720662302210516;0.9041540251782596;0;5;2.700191632235323;0.009665979481265668;26.38888888888889;1.5
-110.32579368020542;-6.039677056554519;1.125;1.125;0.4322169298783338;0.9017696632325505;0;6;2.69464289943624;0.009608441471479783;26.38888888888889;1.5
-111.13795805565785;-5.687329901556259;1.125;1.125;0.4359563864799329;0.8999677933611621;0;7;2.690491960331784;0.00956604948683983;26.38888888888889;1.5
-111.94806972365112;-5.327645548621649;1.125;1.125;0.43968039767385303;0.8981543007197385;0;8;2.6863498546519082;0.0095243058179633;26.38888888888889;1.5
-113.02491442288836;-4.83673583932075;1.125;1.125;0.4446220559771484;0.8957182745365049;0;9;2.6808403821604854;0.009469648244236609;26.38888888888889;1.5
-113.8299864855546;-4.460117763522019;1.125;1.125;0.44831078277482733;0.8938777556510854;0;10;2.6767179751909467;0.00942939901027007;26.38888888888889;1.5
-114.63279159397104;-4.0763222660618155;1.125;1.125;0.45198470837110816;0.8920256853917853;0;11;2.6726036201489127;0.009389781276505043;26.38888888888889;1.5
-115.69956094098707;-3.5535129049321577;1.125;1.125;0.4568605810989572;0.8895383125183104;0;12;2.6671299346011215;0.009337929441599028;26.38888888888889;1.5
-116.4968265348983;-3.1531564959158835;1.125;1.125;0.4605007098650902;0.8876593356765579;0;13;2.6630334586921225;0.009299760888470518;26.38888888888889;1.5
-117.29161092776914;-2.745782441513018;1.125;1.125;0.46412666809828423;0.8857688388964612;0;14;2.6589442565101153;0.009262201891842015;26.38888888888889;1.5
-118.34735271460559;-2.1917835453318455;1.125;1.125;0.46893955807769716;0.8832302592585323;0;15;2.65350289918068;0.009213058279913224;26.38888888888889;1.5
-119.1360976837931;-1.7682213906809594;1.125;1.125;0.4761783861582841;0.8793487047557937;0;16;2.6452890403640903;0.00916933073287165;26.38888888888889;1.5
-119.92214720514954;-1.3378013669183595;1.125;1.125;0.48335935176835104;0.8754220336832284;0;17;2.6371045802887756;0.00912718632287427;26.38888888888889;1.5
-120.96590922384809;-0.7533230524629112;1.125;1.125;0.49284549750809536;0.8701168401921652;0;18;2.6262356704113703;0.009073447418360027;26.38888888888889;1.5
-121.74541941234305;-0.307087739760345;1.125;1.125;0.49989488791936476;0.866086081767907;0;19;2.6181152467156013;0.009034976192329035;26.38888888888889;1.5
-122.52201990621633;0.1458456657790582;1.125;1.125;0.5068893396207105;0.8620111352986572;0;20;2.6100203161319326;0.008998069430966902;26.38888888888889;1.5
-123.55284994881859;0.7600932817315424;1.125;1.125;0.5161312919613587;0.856509480074972;0;21;2.599264712547009;0.008951283110603416;26.38888888888889;1.5
-124.32241120065224;1.2284691649028625;1.125;1.125;0.5230008604801899;0.852332153527591;0;22;2.5912247264197457;0.008918001838630299;26.38888888888889;1.5
-125.08884851107359;1.7033833646361347;1.125;1.125;0.5298182966698514;0.8481111793355027;0;23;2.5832063472936064;0.008886263072950538;26.38888888888889;1.5
-126.10579436962117;2.3466901653084142;4.375;4.375;0.538828523846447;0.8424154686907518;0;24;2.5725467793177668;0.008846331924789012;26.38888888888889;1.5
-126.86469252882476;2.8366740313655567;4.375;4.375;0.5455274646268228;0.8380929455244392;0;25;2.5645743047482603;0.008818164529717988;26.38888888888889;1.5
-127.62025249982541;3.3330364377097723;4.375;4.375;0.5521769368452054;0.8337269519550426;0;26;2.5566195756955032;0.008791515394571148;26.38888888888889;1.5
-128.62236196635993;4.004692306324609;4.375;4.375;0.5609672738370822;0.8278379779182591;0;27;2.546038881764895;0.008758331783144283;26.38888888888889;1.5
-129.36988287696465;4.51575156768464;4.375;4.375;0.5675042792553112;0.8233704470206042;0;28;2.5381210790596938;0.008735195447539016;26.38888888888889;1.5
-130.11385135257592;5.033029593056868;4.375;4.375;0.5739943152466706;0.8188592834330608;0;29;2.530217188289576;0.008713551533937523;26.38888888888889;1.5
-131.100172219139;5.732324412837018;4.375;4.375;0.582575865776934;0.8127763287733322;0;30;2.519698330599207;0.008687000698573482;26.38888888888889;1.5
-131.83560172517616;6.2639264819170055;4.375;4.375;0.5889590560689999;0.8081628736055082;0;31;2.511822455566751;0.008668807850260477;26.38888888888889;1.5
-132.5672645494291;6.801587538734316;4.375;4.375;0.5952975918591048;0.8035053062219009;0;32;2.503956688669047;0.008652080405844451;26.38888888888889;1.5
-133.5368446080625;7.527811192902543;4.375;4.375;0.6036806412552069;0.7972262435304687;0;33;2.4934827615948714;0.00863204229068159;26.38888888888889;1.5
-134.2594685535632;8.079423482119564;4.375;4.375;0.6099175014613012;0.792464914940216;0;34;2.485636170547217;0.008618701650977039;26.38888888888889;1.5
-134.97811157048912;8.636934982799026;4.375;4.375;0.6161118200513489;0.7876586984176676;0;35;2.4777959144970545;0.008606798352554242;26.38888888888889;1.5
-135.9299986132344;9.389377354578086;4.375;4.375;0.6243057558956586;0.7811800836910464;0;36;2.4673501485821525;0.008593148209702034;26.38888888888889;1.5
-136.63910284222996;9.960467276349208;4.375;4.375;0.6304030779055125;0.7762679687886498;0;37;2.4595203004538027;0.008584564925927844;26.38888888888889;1.5
-137.34401189586012;10.537296633307886;4.375;4.375;0.6364597524583123;0.771309914042795;0;38;2.4516930451051127;0.0085773897370336;26.38888888888889;1.5
-138.27725371475884;11.315247605920543;4.375;4.375;0.6444729903236395;0.7646270756017642;0;39;2.4412588082621722;0.008569997505836606;26.38888888888889;1.5
-138.97212407128052;11.905282572662832;4.375;4.375;0.650436818088067;0.7595603634178596;0;40;2.433433265055668;0.008566072358918392;26.38888888888889;1.5
-139.66258500564606;12.500897198317803;4.375;4.375;0.6563616577517795;0.7544464024921426;0;41;2.425606603309575;0.008563524452783033;26.38888888888889;1.5
-140.57622939273998;13.303646654986812;4.375;4.375;0.6642015696718407;0.7475535264082853;0;42;2.415167400788177;0.008524880537288474;26.38888888888889;1.5
-141.25615172081888;13.912094079117345;4.375;4.375;0.6700371459092878;0.742327571292981;0;43;2.407333827485173;0.008530460382395593;26.38888888888889;1.5
-141.93145037995112;14.525961385885678;4.375;4.375;0.6758351426850784;0.7370528202997664;0;44;2.3994954552545718;0.008537348301017884;26.38888888888889;1.5
-142.8245451272818;15.352799209833798;4.375;4.375;0.6835079863547731;0.7299430337973255;0;45;2.3890349298441764;0.008548571000539074;26.38888888888889;1.5
-143.48880527094926;15.979126503769638;4.375;4.375;0.6892196993382941;0.7245524177338941;0;46;2.381181094869338;0.00855851950939014;26.38888888888889;1.5
-144.14822749887938;16.6107139040684;4.375;4.375;0.6948949746535276;0.7191112391009289;0;47;2.3733188119153557;0.008569782236210965;26.38888888888889;1.5
-145.01982039848843;17.46092997851839;4.375;4.375;0.7024058216929775;0.7117766936700113;0;48;2.362820745802955;0.008586845072414799;26.38888888888889;1.5
-145.66770420177565;18.104604554676612;4.375;4.375;0.7079971509570531;0.7062152888720944;0;49;2.3549345230955616;0.008601177188131793;26.38888888888889;1.5
-146.31053584253488;18.753379460922876;4.375;4.375;0.7135529008600638;0.7006013543194074;0;50;2.3470362357844663;0.008616825046645364;26.38888888888889;1.5
-147.15967468646406;19.626263669097508;4.375;4.375;0.7209055628171542;0.6930333105264725;0;51;2.3364845554578584;0.008639734861160524;26.38888888888889;1.5
-147.79046799340222;20.286752939895173;4.375;4.375;0.7263790228814614;0.6872943438715129;0;52;2.328553929190767;0.008658450662346476;26.38888888888889;1.5
-148.41599489102177;20.952182764506006;4.375;4.375;0.7318174610341018;0.6815006997249532;0;53;2.320607656209536;0.008678479473527023;26.38888888888889;1.5
-149.2417274713126;21.84702498962803;4.375;4.375;0.7390144121524698;0.6736896159441227;0;54;2.3099864417903166;0.008707224111768691;26.38888888888889;1.5
-149.85471612593295;22.52379636748221;4.375;4.375;0.7443714936287469;0.6677657369713637;0;55;2.301999514775856;0.008730309527521676;26.38888888888889;1.5
-150.46222412444405;23.205348522874687;4.375;4.375;0.7496937915471821;0.6617848735923256;0;56;2.2939933968483444;0.00875470091837703;26.38888888888889;1.5
-151.26359823313823;24.12143864816686;4.375;4.375;0.7567360877016971;0.6537205011087914;0;57;2.2832868972493428;0.008789249042235575;26.38888888888889;1.5
-151.85806807947202;24.813959545494644;4.375;4.375;0.761977195439471;0.647603855478176;0;58;2.2752319040833138;0.00881667528481142;26.38888888888889;1.5
-152.4468430229059;25.511101444085806;4.375;4.375;0.7671834197313024;0.6414277827545235;0;59;2.267154218743445;0.008845395771937953;26.38888888888889;1.5
-153.2229064520451;26.447729352770907;4.375;4.375;0.7740706133440016;0.633099269907367;0;60;2.256346874068288;0.008885695117597155;26.38888888888889;1.5
-153.7981433341235;27.155467181989334;4.375;4.375;0.7791950015908825;0.6267815803737252;0;61;2.2482122000826834;0.008917417000704633;26.38888888888889;1.5
-154.36747106651137;27.867666236196285;4.375;4.375;0.784284048267728;0.6204019113709952;0;62;2.240051382581909;0.008950415998590863;26.38888888888889;1.5
-155.11727160813714;28.82412181149705;4.375;4.375;0.7910140994775118;0.6117979196007298;0;63;2.2291278552133558;0.008996390254512989;26.38888888888889;1.5
-155.67256136999148;29.546543985023213;4.375;4.375;0.7960198043903476;0.6052705766996713;0;64;2.220902062330446;0.009032343512613212;26.38888888888889;1.5
-156.22172773536462;30.273267607263026;4.375;4.375;0.8009893307098636;0.5986786217069763;0;65;2.2126467337782008;0.009069550370443323;26.38888888888889;1.5
-156.9443131815186;31.248840732402208;4.375;4.375;0.8075585155926452;0.5897874565415946;0;66;2.2015919496288556;0.00912109479866979;26.38888888888889;1.5
-157.47894166718004;31.98541466265317;4.375;4.375;0.8124422858473029;0.5830416212992082;0;67;2.1932638102272026;0.009161192490271655;26.38888888888889;1.5
-158.00723250956966;32.726130265342896;4.375;4.375;0.8172886405671185;0.5762284946095181;0;68;2.184902814078448;0.009202512633833804;26.38888888888889;1.5
-158.70165065229347;33.72011082354327;4.375;4.375;0.8236914578024174;0.5670382547441827;0;69;2.1737020154923776;0.009259488529219524;26.38888888888889;1.5
-159.2149037057932;34.4703039229361;4.375;4.375;0.8284486845212727;0.5600649757974272;0;70;2.1652605554013933;0.009303616591228737;26.38888888888889;1.5
-159.72160486923056;35.224478918492814;4.375;4.375;0.8331668379381637;0.5530217176206751;0;71;2.1567830034058724;0.009348926835066468;26.38888888888889;1.5
-160.38690350056586;36.23615679297714;4.375;4.375;0.8393959160038699;0.5435204652964084;0;72;2.145421815190311;0.009411154908482607;26.38888888888889;1.5
-160.87806696593518;36.9994364739289;4.375;4.375;0.8440205637584436;0.5363108128248759;0;73;2.1368563669141487;0.009459166927126006;26.38888888888889;1.5
-161.36246429445146;37.76653827476969;4.375;4.375;0.8486040394653935;0.5290285287231841;0;74;2.1282516956174535;0.009508310024667045;26.38888888888889;1.5
-161.99769120643992;38.79520334876072;4.375;4.375;0.8546500472211578;0.519204484557744;0;75;2.1167162056356044;0.009575562806026772;26.38888888888889;1.5
-162.46605092771;39.57103702368849;4.375;4.375;0.8591345884761687;0.5117497033549547;0;76;2.108016472857859;0.009627274081958695;26.38888888888889;1.5
-162.9274302653364;40.35053304223039;4.375;4.375;0.8635753993998574;0.5042197234850863;0;77;2.099274511682506;0.009680052597477135;26.38888888888889;1.5
-163.53163325001967;41.395475198950905;4.375;4.375;0.8694269637915819;0.4940614887158798;0;78;2.087551367334035;0.009752045982210087;26.38888888888889;1.5
-163.97647507122176;42.18333028027175;4.375;4.375;0.8737623198340247;0.48635317253849947;0;79;2.078707501658372;0.009807226992973341;26.38888888888889;1.5
-164.4141222619895;42.97468792893184;4.375;4.375;0.8780509118117173;0.47856723275482604;0;80;2.0698185534796205;0.009863396608877313;26.38888888888889;1.5
-164.9863491114092;44.035197051604584;4.375;4.375;0.8836945473858626;0.46806404147348823;0;81;2.057895075215228;0.009939780717370165;26.38888888888889;1.5
-165.40695887657455;44.834540951735576;4.375;4.375;0.8878700395188115;0.4600943304637258;0;82;2.048897765938204;0.00999815011959966;26.38888888888889;1.5
-165.8201597645149;45.63722764293095;4.375;4.375;0.8919952464239206;0.45204477693822465;0;83;2.039852700888594;0.010057412535879873;26.38888888888889;1.5
-166.3594582707126;46.71259361477867;4.375;4.375;0.8974153023591502;0.44118678027750896;0;84;2.0277170136271434;0.010137762119587215;26.38888888888889;1.5
-166.7551218238724;47.52289374613689;4.375;4.375;0.9014186179145349;0.4329485827174512;0;85;2.0185575911014544;0.010198979486250813;26.38888888888889;1.5
-167.14316225301664;48.33637689228459;4.375;4.375;0.9053676331203037;0.4246286011306107;0;86;2.0093479540728554;0.010260975125870804;26.38888888888889;1.5
-167.64858020803396;49.425889596530055;4.375;4.375;0.9105462645269218;0.4134071844514424;0;87;1.9969891369911918;0.010344779835898883;26.38888888888889;1.5
-168.01858339321947;50.24661337153256;4.375;4.375;0.9143634430306357;0.4048944233367034;0;88;1.9876596898031962;0.010408438389939845;26.38888888888889;1.5
-168.3807492075988;51.07036038504967;4.375;4.375;0.9181218127728825;0.3962982928434539;0;89;1.978277821748639;0.010472739193706117;26.38888888888889;1.5
-168.85133440347747;52.17330970491565;4.375;4.375;0.9230387900279502;0.38470689115706985;0;90;1.965686580629058;0.010559325979368457;26.38888888888889;1.5
-169.19496306471987;53.00392453597951;4.375;4.375;0.9266529008181817;0.37591807805058935;0;91;1.9561836488595388;0.010624464716647169;26.38888888888889;1.5
-169.53054010836547;53.83740282928311;4.375;4.375;0.9302010201950536;0.367050489753224;0;92;1.9466325250091043;0.010689259017554666;26.38888888888889;1.5
-169.96534033714707;54.95307864799234;4.375;4.375;0.9348248300227536;0.35510919049347317;0;93;1.9338271946341363;0.01077430926896818;26.38888888888889;1.5
-170.28188031847762;55.79305194753463;4.375;4.375;0.9382092553142044;0.346068480568176;0;94;1.9241737240564278;0.010836484528728865;26.38888888888889;1.5
-170.5901544354207;56.63572893304176;4.375;4.375;0.9415195435312078;0.3369583789561939;0;95;1.9144808042151016;0.010896758452110755;26.38888888888889;1.5
-170.9882174891469;57.76342113381702;4.375;4.375;0.945814021919972;0.32470884795392735;0;96;1.901500206374477;0.010973360051121681;26.38888888888889;1.5
-171.27695463459682;58.61222031425481;4.375;4.375;0.9489426381099898;0.31544867978302416;0;97;1.8917257644738612;0.011027386463914027;26.38888888888889;1.5
-171.55721166886863;59.463563404382555;4.375;4.375;0.9519898886901278;0.30612946906784083;0;98;1.8819209598048081;0.011077964399160136;26.38888888888889;1.5
-171.91758533958114;60.602561870446635;4.375;4.375;0.9559229367401132;0.2936176749008096;0;99;1.8688054603469575;0.011139246481454914;26.38888888888889;1.5
-172.17780549318164;61.45965434419696;4.375;4.375;0.9587728616674375;0.28417353805383216;0;100;1.8589406449887977;0.01118000472492722;26.38888888888889;1.5
-172.42933128881342;62.31913095136241;4.375;4.375;0.9615352628142831;0.27468152170225674;0;101;1.849054794977697;0.011215806247871798;26.38888888888889;1.5
-172.75106336855373;63.46872556593803;4.375;4.375;0.9650795340256328;0.2619570441978366;0;102;1.8358458312405506;0.011255070955916805;26.38888888888889;1.5
-172.98205237433604;64.333578745418;4.375;4.375;0.9676316092323447;0.2523669328862695;0;103;1.8259219141164182;0.011277606298708647;26.38888888888889;1.5
-173.20413277535903;65.20065628203818;4.375;4.375;0.9700911998715365;0.24274073397722665;0;104;1.8159864169680262;0.011293745396451392;26.38888888888889;1.5
-173.48628535259834;66.36013208683899;4.375;4.375;0.9732246633404348;0.22985594329035158;0;105;1.8027259870747967;0.011304735624204365;26.38888888888889;1.5
-173.68742993810162;67.23217922010153;4.375;4.375;0.9754638399805932;0.220159707690385;0;106;1.7927745191375244;0.011305312441058321;26.38888888888889;1.5
-173.879625253312;68.10623215065417;4.375;4.375;0.9776068621578603;0.21043959480540317;0;107;1.7828209290054622;0.011299793318961202;26.38888888888889;1.5
-174.12200385585325;69.27462242045407;4.375;4.375;0.9803132172135982;0.19744871778850492;0;108;1.76955104478179;0.011283709671403713;26.38888888888889;1.5
-174.2934058964919;70.15305456956017;4.375;4.375;0.9822288235720559;0.18768734145981994;0;109;1.759603440469546;0.011265680162348468;26.38888888888889;1.5
-174.45593440064758;71.0332345372791;4.375;4.375;0.9843363138278935;0.176300939531571;0;110;1.7480235802606285;0.011238427418798278;26.38888888888889;1.5
-174.65887506326465;72.20939288980288;4.375;4.375;0.9863148703736665;0.16487260682047056;0;111;1.736425175948408;0.011206457423647407;26.38888888888889;1.5
-174.80078700507178;73.0933501258284;4.375;4.375;0.987900746430176;0.15508744372998468;0;112;1.726512294215906;0.011174826902270191;26.38888888888889;1.5
-174.93390114420592;73.97879720178956;4.375;4.375;0.9896217035734141;0.1436971948802547;0;113;1.7149927052561147;0.011135475782117767;26.38888888888889;1.5
-175.09774046160973;75.16157706513835;4.375;4.375;0.9912143666821148;0.13226518545321791;0;114;1.7034502230935713;0.011089837899447697;26.38888888888889;1.5
-175.21041475061855;76.05019945915922;4.375;4.375;0.9924688598679218;0.12249719259014634;0;115;1.6936019632667467;0.01104974036224211;26.38888888888889;1.5
-175.3143669707643;76.94005371443848;4.375;4.375;0.9938039545420985;0.1111471994091016;0;116;1.6821736543589578;0.011003791828462856;26.38888888888889;1.5
-175.4394415376657;78.12830851671346;4.375;4.375;0.9950113448585353;0.0997618343997794;0;117;1.6707243853988087;0.010951025946575257;26.38888888888889;1.5
-175.52313061990932;79.02073613980555;4.375;4.375;0.9959371702138557;0.09005083556756943;0;118;1.6609693146381;0.010907627589713718;26.38888888888889;1.5
-175.59817336709986;79.91413764547877;4.375;4.375;0.9968918270630014;0.078782517952849;0;119;1.6496605695928268;0.010860426344337296;26.38888888888889;1.5
-175.68481977820983;81.10672081478121;4.375;4.375;0.9977197569152221;0.06749286377855244;0;120;1.6383405374551518;0.010807127457379185;26.38888888888889;1.5
-175.7397760997214;82.00209373802038;4.375;4.375;0.9983239280656524;0.057873436493489826;0;121;1.628702118328726;0.010765052803171872;26.38888888888889;1.5
-175.7861618199899;82.8981825651635;4.375;4.375;0.99890822740526;0.046715663562464045;0;122;1.6175289987457169;0.010720408440956824;26.38888888888889;1.5
-175.83471667001925;84.09394752959444;4.375;4.375;0.9993681146869728;0.03554393544622744;0;123;1.6063477506974884;0.010669617606334836;26.38888888888889;1.5
-175.861192676832;84.99140582405664;4.375;4.375;0.999661310864082;0.026024287915428428;0;124;1.596823553156279;0.010629965191476399;26.38888888888889;1.5
-175.8832837079579;86.18871583479782;4.375;4.375;0.9998877757981228;0.014981181845329648;0;125;1.585778069082443;0.010584406476801232;26.38888888888889;1.5
-175.88997369987118;87.08712223140623;4.375;4.375;0.9999922781429158;0.003929841541500302;0;126;1.574726178451653;0.010540565776153832;26.38888888888889;1.5
-175.88822183801827;87.98580596816731;4.375;4.375;0.9999849386639647;-0.005488391861642124;0;127;1.5653079073789171;0.01050365346448822;26.38888888888889;1.5
-175.87279351907202;89.18434860180905;4.375;4.375;0.9998652578236021;-0.016415425591244478;0;128;1.5543801638805224;0.01046129367667531;26.38888888888889;1.5
-175.85143235454288;90.0833784904695;4.375;4.375;0.9996260439420089;-0.02734542508078658;0;129;1.5434474925416966;0.010420972830272676;26.38888888888889;1.5
-175.8217050700574;90.9824277406053;4.375;4.375;0.9993277295982662;-0.03666181741232191;0;130;1.5341262916211358;0.010387069198499339;26.38888888888889;1.5
-175.76909399574998;92.18105642524884;4.375;4.375;0.9988725356614123;-0.04747270269681908;0;131;1.5233057747882517;0.010348225220919894;26.38888888888889;1.5
-175.71993412081147;93.07984987703712;4.375;4.375;0.9983001779657851;-0.05828168385935564;0;132;1.5124815976358594;0.010311680787647041;26.38888888888889;1.5
-175.6624838597266;93.97840471162358;4.375;4.375;0.997719488289336;-0.06749683464923058;0;133;1.5032481361881833;0.010281009780370004;26.38888888888889;1.5
-175.5730266247689;95.17597287537008;4.375;4.375;0.9969382702346311;-0.07819261692501167;0;134;1.4925238104549274;0.010245944078742962;26.38888888888889;1.5
-175.49632048545425;96.07366996136216;4.375;4.375;0.9960421654637852;-0.08888197015263273;0;135;1.4817969106447806;0.010213388209509712;26.38888888888889;1.5
-175.41139969380322;96.9708704514752;4.375;4.375;0.9951866775601574;-0.0979973306104568;0;136;1.4726414619205677;0.01018613364541645;26.38888888888889;1.5
-175.28543289290596;98.16623152242576;4.375;4.375;0.9940877167935678;-0.10857997660780506;0;137;1.4620018576542784;0.01015505951878686;26.38888888888889;1.5
-175.18143293524835;99.06197231369751;4.375;4.375;0.9928760296296442;-0.11915196090234531;0;138;1.4513606121332956;0.010126664902389953;26.38888888888889;1.5
-175.06929405906425;99.95695853041293;4.375;4.375;0.9917522556616349;-0.1281696664193953;0;139;1.4422731235339308;0.010102974679546003;26.38888888888889;1.5
-174.90715428693855;101.14896593666889;4.375;4.375;0.9901304924846301;-0.14014852069195627;0;140;1.430184912547627;0.010073090004088351;26.38888888888889;1.5
-174.77611295697105;102.04189050429613;4.375;4.375;0.9888222091762837;-0.14909942535011234;0;141;1.421138871566243;0.010051965475414528;26.38888888888889;1.5
-174.6370084422871;102.93380251868987;4.375;4.375;0.9874355698456273;-0.1580221358026817;0;142;1.412109027465126;0.010031955360581268;26.38888888888889;1.5
-174.43903229364363;104.1213096883523;4.375;4.375;0.9854654974020995;-0.1698756999397872;0;143;1.4000927923830688;0.010007022124232785;26.38888888888889;1.5
-174.2812020373995;105.010558103411;4.375;4.375;0.9838974864359451;-0.17873370187244808;0;144;1.3910970488149166;0.00998964140523422;26.38888888888889;1.5
-174.11538433024887;105.89853598655897;4.375;4.375;0.9822522981383915;-0.18756444972821557;0;145;1.3821143268004816;0.00997339832239843;26.38888888888889;1.5
-173.88190839979856;107.08039634772905;4.375;4.375;0.9799391552039247;-0.1992968943516641;0;146;1.3701559577137488;0.009953519872866674;26.38888888888889;1.5
-173.69754166331094;107.96510868129508;4.375;4.375;0.9781149586614475;-0.2080652004606126;0;147;1.3611998747976306;0.00993995135535858;26.38888888888889;1.5
-173.50526320972676;108.84829250427309;4.375;4.375;0.9762144323612764;-0.21680724630314144;0;148;1.3522535962673592;0.00992753611258262;26.38888888888889;1.5
-173.2366240921805;110.02335948505205;4.375;4.375;0.9735619866054455;-0.22842298097358413;0;149;1.3403387970723106;0.009912782058392118;26.38888888888889;1.5
-173.02597332148255;110.90267580820125;4.375;4.375;0.9714840464694628;-0.23710492920923967;0;150;1.3314116144460342;0.009903069569356536;26.38888888888889;1.5
-172.80748656749802;111.78020564208528;4.375;4.375;0.9693302967315478;-0.24576162401467283;0;151;1.322490990555192;0.009894518981124104;26.38888888888889;1.5
-172.5040208575667;112.94733267057424;4.375;4.375;0.9663408611033953;-0.25726511648870765;0;152;1.3106053383838416;0.009884927729118333;26.38888888888889;1.5
-172.2673384986916;113.82039305438256;4.375;4.375;0.9640105346848737;-0.26586404235357547;0;153;1.3016962154054517;0.009879092211582062;26.38888888888889;1.5
-172.02289589033984;114.69140897024845;4.375;4.375;0.9616045977015604;-0.2744386956666646;0;154;1.292790389423076;0.009874420586864637;26.38888888888889;1.5
-171.68494018273438;115.84944947454863;4.375;4.375;0.9582790583923358;-0.2858342985834593;0;155;1.2809193897847948;0.00987000102318278;26.38888888888889;1.5
-171.42247868171523;116.71539399009195;4.375;4.375;0.9556966421741944;-0.29435340687168854;0;156;1.2720174460162779;0.009868041567476005;26.38888888888889;1.5
-171.15233266502938;117.57903605901554;4.375;4.375;0.9530385020201977;-0.30284915992470185;0;157;1.2631155331703585;0.009867241542644553;26.38888888888889;1.5
-170.78022355446075;118.72684346722816;4.375;4.375;0.949376357162854;-0.3141409436227457;0;158;1.2512446722563457;0.00986797383241237;26.38888888888889;1.5
-170.49223535733074;119.58481218558232;4.375;4.375;0.9465411185653125;-0.32258318441159783;0;159;1.242339026203386;0.009869868041193327;26.38888888888889;1.5
-170.19663837834398;120.44022047863957;4.375;4.375;0.9436297412994787;-0.3310028872005179;0;160;1.2334301521119633;0.009872910742574561;26.38888888888889;1.5
-169.7907124595229;121.57664821886577;4.375;4.375;0.9396291500720115;-0.3421944773589271;0;161;1.2215449477276976;0.009878746229865168;26.38888888888889;1.5
-169.47745001231522;122.42578121110668;4.375;4.375;0.9365393670193725;-0.35056242528678555;0;162;1.2126247549356328;0.009884449904228168;26.38888888888889;1.5
-169.1566545170607;123.27209579937343;4.375;4.375;0.9333727426223796;-0.3589085166579043;0;163;1.2036980937238126;0.009891284428423455;26.38888888888889;1.5
-168.71724838469814;124.39599729971438;4.375;4.375;0.929030584907343;-0.37000293553797653;0;164;1.1917841463147825;0.009902144621692092;26.38888888888889;1.5
-168.37896413344595;125.23543463691794;4.375;4.375;0.9256835934331205;-0.37829867148688917;0;165;1.1828386379172966;0.009911590757875385;26.38888888888889;1.5
-168.03322256795687;126.07179559147006;4.375;4.375;0.9222587859210446;-0.3865730613887119;0;166;1.1738834511139864;0.009922142959800285;26.38888888888889;1.5
