time;type;message
1717157723.6928396;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157723.7424583;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157723.791663;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157723.8429039;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157723.8916702;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157723.942472;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157723.9912982;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.0423307;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.091579;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.1426435;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.191364;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.2426827;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.2912788;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.343334;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.3924081;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.4424787;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.491484;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.5442526;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.591482;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.6425796;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.6915271;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.7433233;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.791518;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.8425548;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.891398;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.9423058;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157724.9917097;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.0427172;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.091524;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.1428797;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.1914914;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.2426863;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.2920313;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.3427758;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.3924887;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.4425192;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.4916506;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.542293;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.591612;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.6426528;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.6915681;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.742752;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.7916358;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.8430073;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.8920293;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.9425578;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157725.9927232;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.043748;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.1237094;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.1425889;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.1914697;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.242901;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.2926278;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.3427556;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.3920386;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.442699;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.491756;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.542781;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.5921226;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.642898;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.6922219;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.74299;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.7914515;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.8429263;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.8918211;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.943052;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157726.9914863;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.0433164;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.091907;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.1425471;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.1916444;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.243223;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.2930615;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.343186;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.3915563;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.4426925;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.491966;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.5428421;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.5918767;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.6431198;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.6921432;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.7434545;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.7915063;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.8424609;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.892227;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.9428093;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157727.9914093;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.042735;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.092215;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.1423583;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.1913524;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.2422962;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.2919571;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.3424807;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.3932621;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.442417;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.491581;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.5423687;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.591598;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.6435003;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.692942;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.7436914;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.7913938;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.843484;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.8936393;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.9432328;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157728.9925098;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.0426273;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.092208;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.1425157;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.1914444;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.242702;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.2915761;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.3440218;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.391747;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.4439726;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.491598;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.5426197;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.5930037;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.6424732;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.7141578;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.7425575;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.793251;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.842976;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.8916605;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.9423976;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157729.9913807;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.0426025;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.0916622;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.142428;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.1921918;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.2432797;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.292512;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.3424432;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.3923576;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.4424217;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.4915953;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.542373;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.5914931;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.6426158;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.6916418;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.7424693;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.791312;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.8427994;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.8929737;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.9423573;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157730.9914935;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.0425656;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.0916696;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.1423862;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.191303;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.2431931;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.291633;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.3427641;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.3930736;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.4433088;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.4929736;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.5425656;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.591315;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.6424618;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.691926;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.7426817;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.7917542;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.8424816;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.8917942;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.9431674;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157731.991342;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.0427027;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.0915892;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.166949;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.19244;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.2430172;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.2913437;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.3440468;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.3923314;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.4441185;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.492462;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.544337;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157732.5913575;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
