time;type;message
1717048172.0070086;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717048172.1073534;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048172.207378;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048172.307403;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048172.5085588;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.101s)
1717048172.8073835;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048173.0073736;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048173.2073758;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048173.4073637;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048173.5073864;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048173.8073368;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048173.907387;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048174.207361;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048174.4073787;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048174.5073688;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048174.807366;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048175.007373;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048175.1073773;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048175.3073535;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048175.6073287;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048175.7074099;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048176.0073602;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048176.2073863;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048176.4073555;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048176.707359;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048176.914618;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.104s)
1717048177.1073568;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048177.307359;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048177.4073613;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048177.507383;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048177.7073746;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048178.0073922;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048178.2073696;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048178.4073703;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048178.7073593;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048178.807383;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048179.0073855;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048179.2073529;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048179.3073645;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048179.5073795;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048179.9073465;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048180.1073406;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048180.3073392;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048180.4073422;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048180.5073495;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048180.7073615;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048180.9073458;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048181.007373;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048181.2073956;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048181.4073958;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048181.52495;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.118s)
1717048181.8103385;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.103s)
1717048182.407349;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048182.6073425;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048182.7073667;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048182.8073862;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048183.1073542;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048183.307415;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048183.4078925;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048183.60736;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048183.7081697;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.101s)
1717048184.207333;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048184.3073702;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048184.7073438;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048184.9074197;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048185.107358;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048185.3073728;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048185.5073562;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048185.8073788;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048186.1073723;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048186.360675;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.153s)
1717048186.5073347;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048186.6073394;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048186.7073765;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048186.9073553;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048187.1073742;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048187.2073772;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048187.5073519;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048187.60737;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048187.8073695;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048187.9073718;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048188.107354;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048188.2073605;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048188.4075701;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048188.7073684;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048188.9073472;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048189.1073425;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048189.2073426;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048189.4073462;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048189.5073612;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048189.7073462;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048190.0073397;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048190.2073565;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048190.4073653;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048190.607352;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048190.8073528;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048191.1073673;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048191.2073605;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048191.3073957;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048191.507366;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
1717048191.7073874;WARNING;Warning: One trajectory generation iteration took more than 0.100s (Actual calculation time: 0.100s)
