time;type;message
1717157754.7887907;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157754.818937;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157754.86884;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157754.9193017;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157754.9693189;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.0191264;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.0692973;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.1190376;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.169086;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.218789;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.2688968;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.3191974;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.3693576;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.4188335;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.4688847;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.5192943;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.5688894;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.618847;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.669183;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.719597;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.7697248;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.8190305;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.8688147;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.9189858;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157755.968932;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.019178;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.069219;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.1188765;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.168829;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.2191691;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.2688155;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.3211408;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.3688824;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.4187276;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.468936;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.51889;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.5690055;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.618812;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.6692283;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.7190707;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.768778;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.8192434;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.8687463;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.9188654;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157756.9688857;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.019097;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.0688314;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.1190596;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.1688719;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.2189188;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.2687867;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.3189082;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.3687468;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.4187465;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.4688985;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.5191529;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.5689747;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.6190615;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.6688719;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.7191756;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.7692165;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.8210502;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.8689036;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.918896;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157757.9700902;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.0190792;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.0687664;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.1190057;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.1689055;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.2209435;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.268699;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.319006;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.368904;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.418784;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.4688916;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.5190713;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.5688612;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.6191826;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.6691103;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.7189915;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.7690904;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.8188038;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
1717157758.8686967;WARNING;Heading mismatch between vehicle and track grid, check if vehicle oriented correctly!
